app_name,vector,is_ransom,entr_r,entr_w,ext_r_cnt,ext_w_cnt,fids_c,fids_d,fids_r,fids_rn,fids_w,fids_ch,ext_ch_cnt,mouvedout,pids,ext_w_docs,ext_w_data,ext_w_db,ext_w_code,ext_w_exe,dir_files_c,dir_files_ch,exe_exists,test_set,sample_id
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,7,6,10,5,64,24,81,2,34,0,1,26,30,0,2,0,1534,0,31,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,7,7,10,5,72,28,88,2,38,0,1,30,33,0,2,0,1691,0,35,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,7,7,10,5,73,28,89,2,38,0,1,30,34,0,2,0,1726,0,35,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,7,7,10,5,84,32,101,2,45,0,1,34,39,0,2,0,1970,0,42,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,7,7,10,5,89,33,104,2,48,0,1,35,42,0,2,0,2085,0,45,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,7,7,10,5,100,37,116,2,54,0,1,39,47,0,2,0,2444,0,51,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,7,7,10,5,112,41,127,2,58,0,1,43,54,0,2,0,2948,0,55,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,7,7,10,5,139,58,154,2,72,5,1,60,73,0,2,0,3678,0,69,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,7,7,10,5,153,67,174,2,78,6,1,69,85,0,2,0,4286,0,75,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,7,7,10,5,162,72,182,2,83,6,1,74,88,0,2,0,4489,0,80,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,7,7,10,5,168,74,188,2,86,6,1,76,92,0,2,0,4724,0,83,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,7,7,10,5,186,84,206,2,95,9,1,86,100,0,2,0,5242,0,92,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,7,7,10,5,198,88,219,2,102,9,1,90,106,0,2,0,5581,0,99,1,1,FALSE,2
